Borrower_ID,Lender_final_count,LenderID_ordered_by_lending,Lender_Geo_Location,Lender_HomeTown
411637,186,kellen989,,", , "
411637,186,shirley190,,"Houston, Texas, United States"
411637,186,tim263,,"Eden Prairie, MN, United States"
411637,186,laura4750550,,", , "
411637,186,marilyn857,,"Albuquerque, NM, United States"
411637,186,brio,,"Arcore, Milano, Italy"
411637,186,robert1914678,,", , United Kingdom"
411637,186,diane4238709,,", Alberta, Canada"
411637,186,AIS,,", Kuwait, Kuwait"
411637,186,monica289,,"Indianapolis, Indiana, United States"
411637,186,henry107,,"Newberry, SC, United States"
411637,186,karen679,,"Clovis, CA, United States"
411637,186,shree805,,"LOTUS Team, Bay Area, CA, United States"
411637,186,ze,,", , Taiwan"
411637,186,carolin536,,", , Germany"
411637,186,jamie4322243,,", , United States"
411637,186,rob825,,"Denver, CO, United States"
411637,186,lowell164,,"Chicago, IL, United States"
411637,186,lorraine280,,", , "
411637,186,marjorie440,,"Valencia, CA, United States"
411637,186,nancy328,,"Louisville, KY, United States"
411637,186,sainzca,,"Berlin, , Germany"
411637,186,beverly938,,"Wylie, TX, United States"
411637,186,judy177,,", , "
411637,186,grahambutto,,"Arvada, CO, United States"
411637,186,nancy7277236,,"Louisville, KY, United States"
411637,186,erin484,,"Callicoon, New York, United States"
411637,186,jennel,,"San Juan , PR, Puerto Rico"
411637,186,silvan518,,", , "
411637,186,yeuxbleu,,"Cham, Zug, Switzerland"
411637,186,nathalie553,,", , Luxembourg"
411637,186,nancy316,,"San Antonio, TX, United States"
411637,186,kohawkrache,,"Juneau, AK, United States"
411637,186,nancy514,,", , "
411637,186,zdf,,"Santa Barbara, CA, United States"
411637,186,norman578,,"Mission Viejo, Ca, United States"
411637,186,divinedaughtersunite202,,"Ojai, CA, United States"
411637,186,stephen686,,"Campbell, CA, United States"
411637,186,sandeepsingh285,,"San francisco, CA, United States"
411637,186,amanda126,,"Orlando, FL, United States"
411637,186,shinichi330,,"Tokyo, Sumida-ku, Japan"
411637,186,lisa742,,"Sidney, BC, Canada"
411637,186,kemp,,"Mountain View, AR, United States"
411637,186,sharon5513201,,"Minneapolis, MN, United States"
411637,186,erik987,,", , "
411637,186,jamesclayton948,,"Rio de Janeiro, RJ, Brazil"
411637,186,jim231,,"Portland, OR, United States"
411637,186,nathan,,"Oakland, CA, United States"
411637,186,SyedImra,,"Regina, SK, Canada"
411637,186,neil10,,"Orlando, FL, United States"
411637,186,jean254,,"Roswell, GA, United States"
411637,186,lora566,,", , United States"
411637,186,gavin416,,", , "
411637,186,oriai,,"Seattle, WA, United States"
411637,186,attilia978,,", , United States"
411637,186,sebz0,,"Mannheim, BW, Germany"
411637,186,valerie772,,"Golden, CO, United States"
411637,186,pacemammasofsan901,,"San Francisco, CA, United States"
411637,186,barry361,,"Wilmette, IL, United States"
411637,186,stianedvin309,,"Sagstua, Hedmark, Norway"
411637,186,annandfintan468,,"KANSAS CITY, MO, United States"
411637,186,jessica646,,"Davis, CA, United States"
411637,186,brian3432121,,"Calgary, Alberta, Canada"
411637,186,auinger987,,"Burgau, , Germany"
411637,186,betty173,,"Birmingham, , United Kingdom"
411637,186,yasar509,,", , "
411637,186,ali955,,", Muscat, Oman"
411637,186,birgit113,,"Vienna, , Austria"
411637,186,env,,"Bremen, , Germany"
411637,186,jodee316,,", , "
411637,186,beverl,,"Vancouver, British Columbia, Canada"
411637,186,finners453,,", , United Kingdom"
411637,186,saenge,,"Bremen, , Germany"
411637,186,vedra999,,", , "
411637,186,fiorenzo850,,"PESCHIERA DEL GARDA, Verona, "
411637,186,leo408,,"Tilburg, Noord-Brabant, Netherlands"
411637,186,tim8177930,,"Willard, MO, United States"
411637,186,Sabbelbine72,,", Belgium &, Germany"
411637,186,leanne616,,"Los Angeles, CA, United States"
411637,186,helen682,,"Balingup, Western Australia, Australia"
411637,186,wim192,,"Amersfoort, , Netherlands"
411637,186,chris280,,"Abilene, Texas, United States"
411637,186,john679,,", , Finland"
411637,186,woushyang204,,"Saint Maur des Fosses, , France"
411637,186,beth928,,"Des Moines, IA, United States"
411637,186,stevethomso,,"Vancouver, British Columbia, Canada"
411637,186,robert593,,", , "
411637,186,bengt594,,"G\\u00f6teborg, , Sweden"
411637,186,susan9195661,,"Calgary, Alberta, Canada"
411637,186,oddrunhelene307,,", , "
411637,186,marci101,,"Littleton, CO, United States"
411637,186,seana855,,"Santa Cruz, CA, United States"
411637,186,elizabeth653,,"Madison, Wisconsin, United States"
411637,186,chris175,,"Bentonville, VA, United States"
411637,186,marisa986,,"Paris, , France"
411637,186,jasonmargaretauror,,"Calgary, Alberta, Canada"
411637,186,sabine784,,", , "
411637,186,kristine745,,"San Diego, CA, United States"
411637,186,tim447,,"Oakland, California, United States"
411637,186,karen662,,"Phoenix, AZ, United States"
411637,186,brock322,,", , Canada"
411637,186,lisa1998777,,"San Francisco, CA, United States"
411637,186,bas680,,"De Meern, , Netherlands"
411637,186,judie178,,", , "
411637,186,shonaandmarc362,,"Adelaide , , Australia"
411637,186,timandmonique297,,"Orem, UT, United States"
